"i","j","P_ij","F_ij","sim"
1,1,0.999981542106704,0.0725281063462422,"Sim 1"
2,1,0.999962831062897,0.0725256336214182,"Sim 1"
3,1,0.999925153772489,0.0725206546767074,"Sim 1"
4,1,0.99984928964194,0.0725106303874497,"Sim 1"
5,1,0.999696552969971,0.0724904523547642,"Sim 1"
6,1,0.999389120640566,0.0724498528453823,"Sim 1"
7,1,0.998770601378723,0.0723682333165247,"Sim 1"
8,1,0.997527376843365,0.0722044285450079,"Sim 1"
9,1,0.995033198349943,0.07187680622118,"Sim 1"
10,1,0.990048198133096,0.0712259960674841,"Sim 1"
11,1,0.980159694265923,0.0699505479221263,"Sim 1"
12,1,0.960834277203236,0.0675158983352336,"Sim 1"
13,1,0.924141819978756,0.0630937070463818,"Sim 1"
14,1,0.858148935099512,0.0557415219242003,"Sim 1"
15,1,0.750260105595118,0.0451473149624921,"Sim 1"
16,1,0.598687660112452,0.0326507858264381,"Sim 1"
17,1,0.425557483188341,0.020964990306848,"Sim 1"
18,1,0.268941421369995,0.0121837981922829,"Sim 1"
19,1,0.154465265083535,0.00660919808738237,"Sim 1"
20,1,0.0831726964939224,0.00343982446143854,"Sim 1"
1,2,0.999978555051579,0.0725281063462422,"Sim 1"
2,2,0.999956816115868,0.0725256336214182,"Sim 1"
3,2,0.999913042143232,0.0725206546767074,"Sim 1"
4,2,0.999824903815885,0.0725106303874497,"Sim 1"
5,2,0.999647462162129,0.0724904523547642,"Sim 1"
6,2,0.999290329600899,0.0724498528453823,"Sim 1"
7,2,0.998571926711577,0.0723682333165247,"Sim 1"
8,2,0.9971283708443,0.0722044285450079,"Sim 1"
9,2,0.994234034441075,0.07187680622118,"Sim 1"
10,2,0.988456247516078,0.0712259960674841,"Sim 1"
11,2,0.977022630089974,0.0699505479221263,"Sim 1"
12,2,0.954782526516713,0.0675158983352336,"Sim 1"
13,2,0.912934227559729,0.0630937070463818,"Sim 1"
14,2,0.838891050423415,0.0557415219242003,"Sim 1"
15,2,0.721115178022863,0.0451473149624921,"Sim 1"
16,2,0.562176500885798,0.0326507858264381,"Sim 1"
17,2,0.389360766050778,0.020964990306848,"Sim 1"
18,2,0.240489083050889,0.0121837981922829,"Sim 1"
19,2,0.135872897009094,0.00660919808738237,"Sim 1"
20,2,0.0724264853615177,0.00343982446143854,"Sim 1"
1,3,0.999975084611061,0.0725281063462422,"Sim 1"
2,3,0.999949827835316,0.0725256336214182,"Sim 1"
3,3,0.999898970806092,0.0725206546767074,"Sim 1"
4,3,0.999796573021945,0.0725106303874497,"Sim 1"
5,3,0.999590432835014,0.0724904523547642,"Sim 1"
6,3,0.999175575313602,0.0724498528453823,"Sim 1"
7,3,0.998341198919826,0.0723682333165247,"Sim 1"
8,3,0.996665192692587,0.0722044285450079,"Sim 1"
9,3,0.993307149075715,0.07187680622118,"Sim 1"
10,3,0.986613082172335,0.0712259960674841,"Sim 1"
11,3,0.973403006423134,0.0699505479221263,"Sim 1"
12,3,0.947846436921582,0.0675158983352336,"Sim 1"
13,3,0.900249510880315,0.0630937070463818,"Sim 1"
14,3,0.817574476193644,0.0557415219242003,"Sim 1"
15,3,0.689974481127613,0.0451473149624921,"Sim 1"
16,3,0.52497918747894,0.0326507858264381,"Sim 1"
17,3,0.354343693774205,0.020964990306848,"Sim 1"
18,3,0.214165016957441,0.0121837981922829,"Sim 1"
19,3,0.119202922022118,0.00660919808738237,"Sim 1"
20,3,0.0629733560569965,0.00343982446143854,"Sim 1"
1,4,0.99997105256468,0.0725281063462422,"Sim 1"
2,4,0.999941708734339,0.0725256336214182,"Sim 1"
3,4,0.999882622742119,0.0725206546767074,"Sim 1"
4,4,0.999763659351678,0.0725106303874497,"Sim 1"
5,4,0.999524182381162,0.0724904523547642,"Sim 1"
6,4,0.99904228294754,0.0724498528453823,"Sim 1"
7,4,0.998073265336673,0.0723682333165247,"Sim 1"
8,4,0.996127596559329,0.0722044285450079,"Sim 1"
9,4,0.992232429921985,0.07187680622118,"Sim 1"
10,4,0.984480243421591,0.0712259960674841,"Sim 1"
11,4,0.969231140642852,0.0699505479221263,"Sim 1"
12,4,0.939913349825993,0.0675158983352336,"Sim 1"
13,4,0.885947618720209,0.0630937070463818,"Sim 1"
14,4,0.794129628199053,0.0557415219242003,"Sim 1"
15,4,0.657010462673499,0.0451473149624921,"Sim 1"
16,4,0.48750260351579,0.0326507858264381,"Sim 1"
17,4,0.320821300824607,0.020964990306848,"Sim 1"
18,4,0.190001566015313,0.0121837981922829,"Sim 1"
19,4,0.104331223119001,0.00660919808738237,"Sim 1"
20,4,0.0546813172159408,0.00343982446143854,"Sim 1"
1,5,0.999966368035961,0.0725281063462422,"Sim 1"
2,5,0.99993227585038,0.0725256336214182,"Sim 1"
3,5,0.999863629672921,0.0725206546767074,"Sim 1"
4,5,0.999725421843899,0.0725106303874497,"Sim 1"
5,5,0.999447221363076,0.0724904523547642,"Sim 1"
6,5,0.99888746396714,0.0724498528453823,"Sim 1"
7,5,0.997762151478724,0.0723682333165247,"Sim 1"
8,5,0.995503726839059,0.0722044285450079,"Sim 1"
9,5,0.990986701347152,0.07187680622118,"Sim 1"
10,5,0.982013790037908,0.0712259960674841,"Sim 1"
11,5,0.964428810727364,0.0699505479221263,"Sim 1"
12,5,0.930861579656653,0.0675158983352336,"Sim 1"
13,5,0.869891525637002,0.0630937070463818,"Sim 1"
14,5,0.768524783499018,0.0557415219242003,"Sim 1"
15,5,0.622459331201855,0.0451473149624921,"Sim 1"
16,5,0.450166002687522,0.0326507858264381,"Sim 1"
17,5,0.289050497374996,0.020964990306848,"Sim 1"
18,5,0.167981614866076,0.0121837981922829,"Sim 1"
19,5,0.0911229610148562,0.00660919808738237,"Sim 1"
20,5,0.0474258731775668,0.00343982446143854,"Sim 1"
1,6,0.999960925445205,0.0725281063462422,"Sim 1"
2,6,0.999921316626289,0.0725256336214182,"Sim 1"
3,6,0.999841563780898,0.0725206546767074,"Sim 1"
4,6,0.999680999871073,0.0725106303874497,"Sim 1"
5,6,0.999357820299414,0.0724904523547642,"Sim 1"
6,6,0.998707650223713,0.0724498528453823,"Sim 1"
7,6,0.997400932237677,0.0723682333165247,"Sim 1"
8,6,0.994779874306442,0.0722044285450079,"Sim 1"
9,6,0.989543293768082,0.07187680622118,"Sim 1"
10,6,0.97916365548132,0.0712259960674841,"Sim 1"
11,6,0.958908721799535,0.0699505479221263,"Sim 1"
12,6,0.920561450816022,0.0675158983352336,"Sim 1"
13,6,0.851952801968311,0.0630937070463818,"Sim 1"
14,6,0.740774899182154,0.0557415219242003,"Sim 1"
15,6,0.58661757891733,0.0451473149624921,"Sim 1"
16,6,0.41338242108267,0.0326507858264381,"Sim 1"
17,6,0.259225100817846,0.020964990306848,"Sim 1"
18,6,0.14804719803169,0.0121837981922829,"Sim 1"
19,6,0.0794385491839785,0.00660919808738237,"Sim 1"
20,6,0.041091278200465,0.00343982446143854,"Sim 1"
1,7,0.999954602131297,0.0725281063462422,"Sim 1"
2,7,0.999908584126148,0.0725256336214182,"Sim 1"
3,7,0.999815928095037,0.0725206546767074,"Sim 1"
4,7,0.999629393859374,0.0725106303874497,"Sim 1"
5,7,0.999253971166163,0.0724904523547642,"Sim 1"
6,7,0.998498817743263,0.0724498528453823,"Sim 1"
7,7,0.996981583675292,0.0723682333165247,"Sim 1"
8,7,0.993940198508416,0.0722044285450079,"Sim 1"
9,7,0.987871565015726,0.07187680622118,"Sim 1"
10,7,0.975872978582331,0.0712259960674841,"Sim 1"
11,7,0.952574126822433,0.0699505479221263,"Sim 1"
12,7,0.908877038985144,0.0675158983352336,"Sim 1"
13,7,0.832018385133925,0.0630937070463818,"Sim 1"
14,7,0.710949502625004,0.0557415219242003,"Sim 1"
15,7,0.549833997312478,0.0451473149624921,"Sim 1"
16,7,0.377540668798146,0.0326507858264381,"Sim 1"
17,7,0.231475216500983,0.020964990306848,"Sim 1"
18,7,0.130108474362998,0.0121837981922829,"Sim 1"
19,7,0.0691384203433469,0.00660919808738237,"Sim 1"
20,7,0.0355711892726362,0.00343982446143854,"Sim 1"
1,8,0.999947255589104,0.0725281063462422,"Sim 1"
2,8,0.999893791478702,0.0725256336214182,"Sim 1"
3,8,0.999786145328236,0.0725206546767074,"Sim 1"
4,8,0.999569442918675,0.0725106303874497,"Sim 1"
5,8,0.999133342788921,0.0724904523547642,"Sim 1"
6,8,0.998256298669045,0.0724498528453823,"Sim 1"
7,8,0.996494812779934,0.0723682333165247,"Sim 1"
8,8,0.992966412845005,0.0722044285450079,"Sim 1"
9,8,0.985936372956755,0.07187680622118,"Sim 1"
10,8,0.972077426215927,0.0712259960674841,"Sim 1"
11,8,0.945318682784059,0.0699505479221263,"Sim 1"
12,8,0.895668776880999,0.0675158983352336,"Sim 1"
13,8,0.809998433984687,0.0630937070463818,"Sim 1"
14,8,0.679178699175393,0.0557415219242003,"Sim 1"
15,8,0.51249739648421,0.0451473149624921,"Sim 1"
16,8,0.342989537326501,0.0326507858264381,"Sim 1"
17,8,0.205870371800948,0.020964990306848,"Sim 1"
18,8,0.114052381279791,0.0121837981922829,"Sim 1"
19,8,0.0600866501740077,0.00660919808738237,"Sim 1"
20,8,0.030768859357148,0.00343982446143854,"Sim 1"
1,9,0.999938720260383,0.0725281063462422,"Sim 1"
2,9,0.999876605424014,0.0725256336214182,"Sim 1"
3,9,0.999751544918161,0.0725206546767074,"Sim 1"
4,9,0.99949979889292,0.0725106303874497,"Sim 1"
5,9,0.998993229179914,0.0724904523547642,"Sim 1"
6,9,0.99797467961095,0.0724498528453823,"Sim 1"
7,9,0.995929862284104,0.0723682333165247,"Sim 1"
